name,side,route,run,status,url,finalUrl,duration,isSlow,gotoError,bodyReadError,bodyLength,divCount,hasUrl,hasBody,hasDivs,consoleErrors,pageErrors,failedRequests,badResponses,ignoredConsoleErrors,ignoredFailedRequests,ignoredBadResponses
"salon dashboard run 1","salon","dashboard",1,"PASS","http://localhost:5173/#/salon/totem-demo-salon/dashboard","http://localhost:5173/#/salon/totem-demo-salon/dashboard",3934,false,"","",1671,89,true,true,true,0,0,0,0,2,0,0
"salon masters run 1","salon","masters",1,"PASS","http://localhost:5173/#/salon/totem-demo-salon/masters","http://localhost:5173/#/salon/totem-demo-salon/masters",2419,false,"","",1614,212,true,true,true,0,0,0,0,1,0,0
"salon bookings run 1","salon","bookings",1,"PASS","http://localhost:5173/#/salon/totem-demo-salon/bookings","http://localhost:5173/#/salon/totem-demo-salon/bookings",2687,false,"","",591,50,true,true,true,0,0,0,0,1,0,0
"salon calendar run 1","salon","calendar",1,"PASS","http://localhost:5173/#/salon/totem-demo-salon/calendar","http://localhost:5173/#/salon/totem-demo-salon/calendar",2401,false,"","",1200,317,true,true,true,0,0,0,0,1,0,0
"salon finance run 1","salon","finance",1,"PASS","http://localhost:5173/#/salon/totem-demo-salon/finance","http://localhost:5173/#/salon/totem-demo-salon/finance",2370,false,"","",1663,118,true,true,true,0,0,0,0,1,0,0
"salon services run 1","salon","services",1,"PASS","http://localhost:5173/#/salon/totem-demo-salon/services","http://localhost:5173/#/salon/totem-demo-salon/services",2584,false,"","",964,70,true,true,true,0,0,0,0,1,0,0
"salon clients run 1","salon","clients",1,"PASS","http://localhost:5173/#/salon/totem-demo-salon/clients","http://localhost:5173/#/salon/totem-demo-salon/clients",2363,false,"","",534,52,true,true,true,0,0,0,0,1,0,0
"salon settings run 1","salon","settings",1,"PASS","http://localhost:5173/#/salon/totem-demo-salon/settings","http://localhost:5173/#/salon/totem-demo-salon/settings",2338,false,"","",1464,91,true,true,true,0,0,0,0,1,0,0
"salon money run 1","salon","money",1,"PASS","http://localhost:5173/#/salon/totem-demo-salon/money","http://localhost:5173/#/salon/totem-demo-salon/money",2368,false,"","",404,25,true,true,true,0,0,0,0,1,0,0
"salon settlements run 1","salon","settlements",1,"PASS","http://localhost:5173/#/salon/totem-demo-salon/settlements","http://localhost:5173/#/salon/totem-demo-salon/settlements",2390,false,"","",973,85,true,true,true,0,0,0,0,4,1,0
"salon payouts run 1","salon","payouts",1,"PASS","http://localhost:5173/#/salon/totem-demo-salon/payouts","http://localhost:5173/#/salon/totem-demo-salon/payouts",2462,false,"","",1214,123,true,true,true,0,0,0,0,1,0,0
"salon transactions run 1","salon","transactions",1,"PASS","http://localhost:5173/#/salon/totem-demo-salon/transactions","http://localhost:5173/#/salon/totem-demo-salon/transactions",2327,false,"","",4164,414,true,true,true,0,0,0,0,1,0,0
"salon contracts run 1","salon","contracts",1,"PASS","http://localhost:5173/#/salon/totem-demo-salon/contracts","http://localhost:5173/#/salon/totem-demo-salon/contracts",2405,false,"","",2180,61,true,true,true,0,0,0,0,1,0,0
"salon dashboard run 2","salon","dashboard",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/dashboard","http://localhost:5173/#/salon/totem-demo-salon/dashboard",2311,false,"","",1671,89,true,true,true,0,0,0,0,1,0,0
"salon masters run 2","salon","masters",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/masters","http://localhost:5173/#/salon/totem-demo-salon/masters",2279,false,"","",1614,212,true,true,true,0,0,0,0,1,0,0
"salon bookings run 2","salon","bookings",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/bookings","http://localhost:5173/#/salon/totem-demo-salon/bookings",2325,false,"","",591,50,true,true,true,0,0,0,0,1,0,0
"salon calendar run 2","salon","calendar",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/calendar","http://localhost:5173/#/salon/totem-demo-salon/calendar",2367,false,"","",1200,317,true,true,true,0,0,0,0,4,1,0
"salon finance run 2","salon","finance",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/finance","http://localhost:5173/#/salon/totem-demo-salon/finance",2363,false,"","",1663,118,true,true,true,0,0,0,0,1,0,0
"salon services run 2","salon","services",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/services","http://localhost:5173/#/salon/totem-demo-salon/services",2331,false,"","",964,70,true,true,true,0,0,0,0,4,1,0
"salon clients run 2","salon","clients",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/clients","http://localhost:5173/#/salon/totem-demo-salon/clients",2380,false,"","",534,52,true,true,true,0,0,0,0,1,0,0
"salon settings run 2","salon","settings",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/settings","http://localhost:5173/#/salon/totem-demo-salon/settings",2413,false,"","",1464,91,true,true,true,0,0,0,0,1,0,0
"salon money run 2","salon","money",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/money","http://localhost:5173/#/salon/totem-demo-salon/money",2410,false,"","",1383,112,true,true,true,0,0,0,0,1,0,0
"salon settlements run 2","salon","settlements",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/settlements","http://localhost:5173/#/salon/totem-demo-salon/settlements",2358,false,"","",973,85,true,true,true,0,0,0,0,1,0,0
"salon payouts run 2","salon","payouts",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/payouts","http://localhost:5173/#/salon/totem-demo-salon/payouts",2376,false,"","",1214,123,true,true,true,0,0,0,0,1,0,0
"salon transactions run 2","salon","transactions",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/transactions","http://localhost:5173/#/salon/totem-demo-salon/transactions",2399,false,"","",4164,414,true,true,true,0,0,0,0,4,1,0
"salon contracts run 2","salon","contracts",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/contracts","http://localhost:5173/#/salon/totem-demo-salon/contracts",2527,false,"","",2180,61,true,true,true,0,0,0,0,1,0,0
"salon dashboard run 3","salon","dashboard",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/dashboard","http://localhost:5173/#/salon/totem-demo-salon/dashboard",2356,false,"","",1671,89,true,true,true,0,0,0,0,1,0,0
"salon masters run 3","salon","masters",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/masters","http://localhost:5173/#/salon/totem-demo-salon/masters",3032,false,"","",1614,212,true,true,true,0,0,0,0,1,0,0
"salon bookings run 3","salon","bookings",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/bookings","http://localhost:5173/#/salon/totem-demo-salon/bookings",2352,false,"","",591,50,true,true,true,0,0,0,0,4,1,0
"salon calendar run 3","salon","calendar",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/calendar","http://localhost:5173/#/salon/totem-demo-salon/calendar",2509,false,"","",1200,317,true,true,true,0,0,0,0,1,0,0
"salon finance run 3","salon","finance",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/finance","http://localhost:5173/#/salon/totem-demo-salon/finance",2427,false,"","",1663,118,true,true,true,0,0,0,0,1,0,0
"salon services run 3","salon","services",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/services","http://localhost:5173/#/salon/totem-demo-salon/services",2428,false,"","",964,70,true,true,true,0,0,0,0,4,1,0
"salon clients run 3","salon","clients",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/clients","http://localhost:5173/#/salon/totem-demo-salon/clients",2306,false,"","",534,52,true,true,true,0,0,0,0,1,0,0
"salon settings run 3","salon","settings",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/settings","http://localhost:5173/#/salon/totem-demo-salon/settings",2346,false,"","",1464,91,true,true,true,0,0,0,0,4,1,0
"salon money run 3","salon","money",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/money","http://localhost:5173/#/salon/totem-demo-salon/money",2501,false,"","",1383,112,true,true,true,0,0,0,0,1,0,0
"salon settlements run 3","salon","settlements",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/settlements","http://localhost:5173/#/salon/totem-demo-salon/settlements",2511,false,"","",973,85,true,true,true,0,0,0,0,1,0,0
"salon payouts run 3","salon","payouts",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/payouts","http://localhost:5173/#/salon/totem-demo-salon/payouts",2624,false,"","",1214,123,true,true,true,0,0,0,0,4,1,0
"salon transactions run 3","salon","transactions",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/transactions","http://localhost:5173/#/salon/totem-demo-salon/transactions",2572,false,"","",4164,414,true,true,true,0,0,0,0,1,0,0
"salon contracts run 3","salon","contracts",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/contracts","http://localhost:5173/#/salon/totem-demo-salon/contracts",2417,false,"","",2180,61,true,true,true,0,0,0,0,1,0,0